Date,day_of_week,month,is_weekend,precipitation_hours,wind_direction_10m_dominant,local_party,GAMES,Revenue_RollingMean_7,RollingMean_30,Lag_7,Revenue
2023-01-01,6,1,1,0.0,284,1.0,0.0,2976.835714285714,2288.5566666666664,1019.9,2369.85
2023-01-02,0,1,0,0.0,307,1.0,0.0,3169.6857142857148,2353.1516666666666,2850.85,4176.1
2023-01-03,1,1,0,3.0,286,0.0,0.0,3359.007142857143,2449.6433333333334,1953.8,2498.0
2023-01-04,2,1,0,0.0,297,0.0,0.0,3436.75,2525.186666666667,4645.95,3303.9
2023-01-05,3,1,0,0.0,283,0.0,0.0,3245.028571428572,2584.516666666667,4632.35,2179.7
2023-01-06,4,1,0,0.0,295,1.0,0.0,2894.65,2552.016666666667,4246.6,1687.5
2023-01-07,5,1,1,0.0,287,0.0,0.0,2529.0642857142857,2543.903333333333,1488.4,5624.75
2023-01-08,6,1,1,6.0,263,0.0,0.0,3119.971428571429,2702.898333333333,2369.85,2840.7
2023-01-10,1,1,0,0.0,305,0.0,0.0,3187.2357142857145,2772.9716666666664,4176.1,334.3
2023-01-11,2,1,0,0.0,309,0.0,0.0,2638.407142857143,2716.8083333333334,2498.0,835.5
2023-01-12,3,1,0,0.0,292,0.0,0.0,2400.907142857143,2670.253333333333,3303.9,830.85
2023-01-13,4,1,0,0.0,305,0.0,0.0,2047.6142857142859,2595.45,2179.7,2439.25
2023-01-14,5,1,1,0.0,273,0.0,0.0,2084.692857142857,2516.2200000000003,1687.5,5963.0
2023-01-15,6,1,1,3.0,248,0.0,0.0,2695.4785714285713,2641.7766666666666,5624.75,3690.25
2023-01-17,1,1,0,2.0,265,0.0,0.0,2419.121428571428,2736.858333333333,2840.7,377.95
2023-01-18,2,1,0,0.0,296,0.0,0.0,2067.3,2719.186666666667,334.3,1069.1
2023-01-19,3,1,0,1.0,295,0.0,0.0,2172.2714285714287,2729.4900000000002,835.5,1313.85
2023-01-20,4,1,0,0.0,298,0.0,0.0,2240.6071428571427,2685.5983333333334,830.85,2971.95
2023-01-21,5,1,1,0.0,316,0.0,0.0,2546.4785714285713,2632.4349999999995,2439.25,5964.8
2023-01-22,6,1,1,0.0,317,0.0,0.0,3050.128571428572,2735.753333333333,5963.0,3319.2
2023-01-24,1,1,0,0.0,316,0.0,0.0,2672.442857142857,2799.275,3690.25,483.5
2023-01-25,2,1,0,2.0,317,0.0,0.0,2214.335714285714,2740.3816666666667,377.95,1159.5
2023-01-26,3,1,0,0.0,318,0.0,0.0,2325.985714285714,2682.62,1069.1,941.35
2023-01-27,4,1,0,1.0,267,0.0,0.0,2307.735714285714,2573.7566666666667,1313.85,2217.25
2023-01-28,5,1,1,5.0,287,0.0,0.0,2436.792857142857,2613.6683333333335,2971.95,6036.65
